State,Participation,EBRW,Math,Total,Year,Test
Alabama,0.05,593,572,1165,2017,SAT
Alaska,0.38,547,533,1080,2017,SAT
Arizona,0.3,563,553,1116,2017,SAT
Arkansas,0.03,614,594,1208,2017,SAT
California,0.53,531,524,1055,2017,SAT
Colorado,0.11,606,595,1201,2017,SAT
Connecticut,1.0,530,512,1041,2017,SAT
Delaware,1.0,503,492,996,2017,SAT
District of Columbia,1.0,482,468,950,2017,SAT
Florida,0.83,520,497,1017,2017,SAT
Georgia,0.61,535,515,1050,2017,SAT
Hawaii,0.55,544,541,1085,2017,SAT
Idaho,0.93,513,493,1005,2017,SAT
Illinois,0.09,559,556,1115,2017,SAT
Indiana,0.63,542,532,1074,2017,SAT
Iowa,0.02,641,635,1275,2017,SAT
Kansas,0.04,632,628,1260,2017,SAT
Kentucky,0.04,631,616,1247,2017,SAT
Louisiana,0.04,611,586,1198,2017,SAT
Maine,0.95,513,499,1012,2017,SAT
Maryland,0.69,536,52,1060,2017,SAT
Massachusetts,0.76,555,551,1107,2017,SAT
Michigan,1.0,509,495,1005,2017,SAT
Minnesota,0.03,644,651,1295,2017,SAT
Mississippi,0.02,634,607,1242,2017,SAT
Missouri,0.03,640,631,1271,2017,SAT
Montana,0.1,605,591,1196,2017,SAT
Nebraska,0.03,629,625,1253,2017,SAT
Nevada,0.26,563,553,1116,2017,SAT
New Hampshire,0.96,532,520,1052,2017,SAT
New Jersey,0.7,530,526,1056,2017,SAT
New Mexico,0.11,577,561,1138,2017,SAT
New York,0.67,528,523,1052,2017,SAT
North Carolina,0.49,546,535,1081,2017,SAT
North Dakota,0.02,635,621,1256,2017,SAT
Ohio,0.12,578,570,1149,2017,SAT
Oklahoma,0.07,530,517,1047,2017,SAT
Oregon,0.43,560,548,1108,2017,SAT
Pennsylvania,0.65,540,531,1071,2017,SAT
Rhode Island,0.71,539,524,1062,2017,SAT
South Carolina,0.5,543,521,1064,2017,SAT
South Dakota,0.03,612,603,1216,2017,SAT
Tennessee,0.05,623,604,1228,2017,SAT
Texas,0.62,513,507,1020,2017,SAT
Utah,0.03,624,614,1238,2017,SAT
Vermont,0.6,562,551,1114,2017,SAT
Virginia,0.65,561,541,1102,2017,SAT
Washington,0.64,541,534,1075,2017,SAT
West Virginia,0.14,558,528,1086,2017,SAT
Wisconsin,0.03,642,649,1291,2017,SAT
Wyoming,0.03,626,604,1230,2017,SAT
Alabama,0.06,595,571,1166,2018,SAT
Alaska,0.43,562,544,1106,2018,SAT
Arizona,0.29,577,572,1149,2018,SAT
Arkansas,0.05,592,576,1169,2018,SAT
California,0.6,540,536,1076,2018,SAT
Colorado,1.0,519,506,1025,2018,SAT
Connecticut,1.0,535,519,1053,2018,SAT
Delaware,1.0,505,492,998,2018,SAT
District of Columbia,0.92,497,480,977,2018,SAT
Florida,0.56,550,549,1099,2018,SAT
Georgia,0.7,542,522,1064,2018,SAT
Hawaii,0.56,480,530,1010,2018,SAT
Idaho,1.0,508,493,1001,2018,SAT
Illinois,0.99,513,506,1019,2018,SAT
Indiana,0.63,542,532,1074,2018,SAT
Iowa,0.03,634,631,1265,2018,SAT
Kansas,0.04,633,631,1265,2018,SAT
Kentucky,0.04,630,618,1248,2018,SAT
Louisiana,0.04,615,595,1210,2018,SAT
Maine,0.99,512,501,1013,2018,SAT
Maryland,0.76,545,535,1080,2018,SAT
Massachusetts,0.8,562,563,1125,2018,SAT
Michigan,1.0,511,499,1011,2018,SAT
Minnesota,0.04,643,655,1298,2018,SAT
Mississippi,0.03,630,606,1236,2018,SAT
Missouri,0.04,633,629,1262,2018,SAT
Montana,0.1,606,592,1198,2018,SAT
Nebraska,0.03,629,623,1252,2018,SAT
Nevada,0.23,574,566,1140,2018,SAT
New Hampshire,0.96,535,528,1063,2018,SAT
New Jersey,0.82,547,547,1094,2018,SAT
New Mexico,0.16,552,540,1093,2018,SAT
New York,0.79,534,534,1068,2018,SAT
North Carolina,0.52,554,543,1098,2018,SAT
North Dakota,0.02,640,643,1283,2018,SAT
Oklahoma,0.08,541,521,1062,2018,SAT
Ohio,0.18,552,547,1099,2018,SAT
Oregon,0.48,564,553,1117,2018,SAT
Pennsylvania,0.7,547,539,1086,2018,SAT
Rhode Island,0.97,513,505,1018,2018,SAT
South Carolina,0.55,547,523,1070,2018,SAT
South Dakota,0.03,622,618,1240,2018,SAT
Tennessee,0.06,624,607,1231,2018,SAT
Texas,0.66,520,512,1032,2018,SAT
Utah,0.04,480,530,1010,2018,SAT
Vermont,0.64,565,554,1120,2018,SAT
Virginia,0.68,567,550,1117,2018,SAT
Washington,0.69,543,538,1081,2018,SAT
West Virginia,0.28,513,486,999,2018,SAT
Wisconsin,0.03,641,653,1294,2018,SAT
Wyoming,0.03,633,625,1257,2018,SAT
Alabama,0.07,583,560,1143,2019,SAT
Alaska,0.41,556,541,1097,2019,SAT
Arizona,0.31,569,565,1134,2019,SAT
Arkansas,0.06,582,559,1141,2019,SAT
California,0.63,534,531,1065,2019,SAT
Colorado,1.0,518,506,1024,2019,SAT
Connecticut,1.0,529,516,1046,2019,SAT
Delaware,1.0,499,486,985,2019,SAT
District of Columbia,0.94,495,480,975,2019,SAT
Florida,1.0,516,483,999,2019,SAT
Georgia,0.71,538,519,1058,2019,SAT
Hawaii,0.54,550,550,1100,2019,SAT
Idaho,1.0,505,488,993,2019,SAT
Illinois,1.0,509,504,1013,2019,SAT
Indiana,0.66,543,537,1080,2019,SAT
Iowa,0.03,622,622,1244,2019,SAT
Kansas,0.04,618,623,1241,2019,SAT
Kentucky,0.04,620,612,1232,2019,SAT
Louisiana,0.05,610,591,1200,2019,SAT
Maine,0.99,512,502,1013,2019,SAT
Maryland,0.82,535,523,1058,2019,SAT
Massachusetts,0.81,559,561,1120,2019,SAT
Michigan,1.0,507,496,1003,2019,SAT
Minnesota,0.04,636,648,1284,2019,SAT
Mississippi,0.03,628,608,1237,2019,SAT
Missouri,0.04,622,615,1236,2019,SAT
Montana,0.09,603,596,1199,2019,SAT
Nebraska,0.03,628,631,1260,2019,SAT
Nevada,0.2,580,576,1156,2019,SAT
New Hampshire,0.95,533,526,1059,2019,SAT
New Jersey,0.82,544,545,1090,2019,SAT
New Mexico,0.18,543,530,1073,2019,SAT
New York,0.79,531,533,1064,2019,SAT
North Carolina,0.51,554,546,1100,2019,SAT
North Dakota,0.02,627,636,1263,2019,SAT
Ohio,0.19,550,548,1097,2019,SAT
Oklahoma,0.22,490,472,963,2019,SAT
Oregon,0.51,562,550,1112,2019,SAT
Pennsylvania,0.7,545,537,1082,2019,SAT
Rhode Island,1.0,503,492,995,2019,SAT
South Carolina,0.68,526,504,1030,2019,SAT
South Dakota,0.03,633,635,1268,2019,SAT
Tennessee,0.07,618,602,1220,2019,SAT
Texas,0.68,515,507,1022,2019,SAT
Utah,0.04,614,615,1230,2019,SAT
Vermont,0.66,560,546,1106,2019,SAT
Virginia,0.68,567,551,1119,2019,SAT
Washington,0.7,539,535,1074,2019,SAT
West Virginia,0.99,483,460,943,2019,SAT
